timestamp,event_type,ear,mar,head_tilt_degrees,attention_score,details
2026-05-01 13:15:50,HEAD TILT,0.1243,0.1575,-43.47,12,Consecutive frame threshold reached
2026-05-01 13:15:51,DROWSY,0.1292,0.1687,-36.22,13,Consecutive frame threshold reached
2026-05-01 13:15:55,HEAD TILT,0.2344,0.1756,24.15,54,Consecutive frame threshold reached
2026-05-01 13:15:56,DROWSY,0.2279,0.1820,22.48,29,Consecutive frame threshold reached
2026-05-01 13:16:01,DROWSY,0.0420,0.1746,-4.09,40,Consecutive frame threshold reached
2026-05-01 13:16:04,DROWSY,0.2287,0.2160,-2.66,53,Consecutive frame threshold reached
2026-05-01 13:16:08,DROWSY,0.2322,0.2023,-9.54,53,Consecutive frame threshold reached
2026-05-01 13:16:11,DROWSY,0.2064,0.2162,-12.15,51,Consecutive frame threshold reached
2026-05-01 13:16:14,DROWSY,0.2358,0.2044,-9.32,54,Consecutive frame threshold reached
2026-05-01 13:16:19,DROWSY,0.2025,0.1800,-7.28,50,Consecutive frame threshold reached
2026-05-01 13:16:23,DROWSY,0.2095,0.2015,-5.67,51,Consecutive frame threshold reached
2026-05-01 13:16:28,HEAD TILT,0.2605,0.1965,-16.61,79,Consecutive frame threshold reached
2026-05-01 13:16:31,DROWSY,0.2496,0.1840,20.67,37,Consecutive frame threshold reached
2026-05-01 13:16:32,HEAD TILT,0.2434,0.1792,19.18,32,Consecutive frame threshold reached
2026-05-01 13:16:39,HEAD TILT,0.3001,0.1673,-18.73,78,Consecutive frame threshold reached
2026-05-01 13:16:42,HEAD TILT,0.3123,0.1698,-20.94,77,Consecutive frame threshold reached
2026-05-01 13:16:45,HEAD TILT,0.3185,0.1826,-20.34,77,Consecutive frame threshold reached
2026-05-01 13:16:48,HEAD TILT,0.2536,0.1732,-17.41,79,Consecutive frame threshold reached
2026-05-01 13:16:51,HEAD TILT,0.2713,0.1585,-16.26,79,Consecutive frame threshold reached
2026-05-01 13:16:54,HEAD TILT,0.2569,0.1572,-15.69,80,Consecutive frame threshold reached
2026-05-01 13:17:17,DROWSY,0.1919,0.2011,2.73,49,Consecutive frame threshold reached
2026-05-01 13:17:20,DROWSY,0.2063,0.2147,-6.10,51,Consecutive frame threshold reached
2026-05-01 13:17:23,DROWSY,0.2172,0.2303,-5.19,52,Consecutive frame threshold reached
2026-05-01 13:17:36,DROWSY,0.2486,0.1711,-12.38,55,Consecutive frame threshold reached
2026-05-01 13:17:50,DROWSY,0.2299,0.1684,-10.70,53,Consecutive frame threshold reached
2026-05-01 13:18:07,DROWSY,0.0969,0.1797,-6.10,40,Consecutive frame threshold reached
2026-05-01 13:18:11,HEAD TILT,0.2530,0.2089,19.59,78,Consecutive frame threshold reached
2026-05-01 13:18:14,HEAD TILT,0.2521,0.1834,-32.68,71,Consecutive frame threshold reached
